Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
562,Jalen Wilson,PF,23,BRK,43,3,664,4.1,9.7,.425,1.3,4.0,.324,2.8,5.7,.495,2.1,2.5,.826,2.5,4.6,7.1,2.4,0.6,0.2,1.0,2.6,11.6,wilsoja03
563,Dylan Windler,SF,27,TOT,17,0,108,5.0,10.0,.500,4.3,9.0,.481,0.7,1.0,.667,0.0,0.0,,1.0,4.3,5.3,3.3,0.7,0.0,0.7,2.0,14.3,windldy01
564,James Wiseman,C,22,DET,63,6,1091,6.2,10.1,.613,0.0,0.1,.000,6.2,10.0,.617,2.4,3.4,.706,3.6,7.5,11.1,1.8,0.4,1.3,2.2,4.7,14.7,wisemja01
565,Isaiah Wong,SG,23,IND,1,0,4,9.0,27.0,.333,0.0,9.0,.000,9.0,18.0,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,wongis01
566,Christian Wood,PF,28,LAL,50,1,872,5.1,10.9,.466,1.4,4.7,.307,3.6,6.2,.587,2.7,3.9,.702,1.6,8.9,10.5,2.0,0.7,1.4,2.1,3.0,14.3,woodch01
567,Delon Wright,PG,31,TOT,47,1,742,3.6,9.1,.394,1.2,3.3,.368,2.4,5.8,.408,1.8,2.2,.822,0.9,3.3,4.2,5.8,2.6,0.5,0.7,1.6,10.2,wrighde01
568,Thaddeus Young,PF,35,TOT,33,6,439,5.3,8.9,.602,0.1,0.6,.143,5.2,8.3,.634,0.5,1.2,.400,3.8,4.7,8.4,4.7,1.9,0.4,1.2,4.0,11.2,youngth01
569,Trae Young,PG,25,ATL,54,54,1942,8.0,18.7,.430,3.2,8.7,.373,4.8,10.0,.479,6.5,7.5,.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,youngtr01
570,Omer Yurtseven,C,25,UTA,48,12,545,6.5,12.2,.538,0.3,1.6,.208,6.2,10.6,.588,1.3,1.8,.679,4.8,9.0,13.7,1.9,0.5,1.2,2.4,3.4,14.7,yurtsom01
571,Cody Zeller,C,31,NOP,43,0,320,2.9,7.0,.419,0.1,0.3,.333,2.8,6.6,.424,2.6,4.3,.605,5.4,7.2,12.6,4.4,1.0,0.6,1.8,5.1,8.6,zelleco01
572,Ivica Zubac,C,26,LAC,68,68,1794,6.8,10.4,.649,0.0,0.0,,6.8,10.4,.649,2.4,3.3,.723,3.9,8.6,12.6,1.9,0.4,1.7,1.6,3.6,15.9,zubaciv01
