Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
490,Terry Taylor,PF,24,CHI,31,0,188,3.8,7.5,.513,0.4,1.7,.222,3.4,5.7,.600,0.8,1.0,.800,3.3,3.8,7.1,1.9,1.0,0.4,1.3,3.3,8.8,taylote01
491,Garrett Temple,SG,37,TOR,27,2,289,3.6,9.7,.372,1.5,5.0,.300,2.1,4.7,.447,2.2,2.7,.818,2.2,3.4,5.6,3.5,1.5,0.4,1.7,3.5,11.0,templga01
492,Dalen Terry,SG,21,CHI,59,2,681,3.6,8.3,.439,0.9,3.9,.230,2.7,4.4,.627,1.3,2.3,.581,1.5,4.4,6.0,4.3,1.4,1.0,1.7,4.3,9.5,terryda01
493,Daniel Theis,C,31,TOT,60,3,1015,5.5,10.4,.532,0.9,2.5,.366,4.6,7.9,.586,1.3,1.8,.760,3.0,5.6,8.7,2.2,0.7,1.8,1.5,4.5,13.3,theisda01
494,Cam Thomas,SG,22,BRK,66,51,2075,9.1,20.6,.442,2.5,6.9,.364,6.6,13.8,.481,5.0,5.8,.856,0.5,3.2,3.7,3.3,0.8,0.3,2.2,2.4,25.7,thomaca02
495,Isaiah Thomas,PG,34,PHO,6,0,19,5.7,18.9,.300,3.8,7.6,.500,1.9,11.4,.167,0.0,0.0,,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,15.2,thomais02
496,Amen Thompson,SF,21,HOU,62,23,1388,6.2,11.6,.536,0.2,1.5,.138,6.0,10.1,.595,2.7,4.0,.684,3.8,6.8,10.6,4.2,2.0,1.0,2.3,3.7,15.4,thompam01
497,Ausar Thompson,SF,21,DET,63,38,1583,5.3,10.9,.483,0.5,2.6,.186,4.8,8.3,.575,1.6,2.7,.597,2.9,6.2,9.1,2.7,1.5,1.3,1.9,4.0,12.6,thompau01
498,Klay Thompson,SF,33,GSW,77,63,2284,7.7,17.9,.432,4.2,10.9,.387,3.5,7.0,.503,2.0,2.2,.927,0.6,3.5,4.0,2.8,0.8,0.6,1.8,2.0,21.7,thompkl01
499,Tristan Thompson,C,32,CLE,49,0,549,4.8,7.9,.608,0.0,0.1,.000,4.8,7.8,.613,1.0,3.4,.288,4.8,6.6,11.4,3.3,0.8,0.9,1.9,3.9,10.6,thomptr01
500,JT Thor,PF,21,CHO,63,3,781,3.7,8.4,.437,1.3,3.7,.346,2.4,4.7,.510,0.5,0.9,.550,2.0,4.7,6.7,1.3,0.5,1.2,0.7,2.8,9.2,thorjt01
501,Matisse Thybulle,SF,26,POR,65,19,1487,3.1,7.7,.397,1.9,5.6,.346,1.1,2.1,.535,0.5,0.7,.759,0.7,2.6,3.3,2.2,2.7,1.2,1.0,2.3,8.6,thybuma01
502,Xavier Tillman Sr.,C-PF,25,TOT,54,15,974,4.5,10.3,.434,0.7,3.0,.247,3.7,7.3,.510,0.8,1.8,.440,2.6,5.2,7.8,2.8,1.9,1.6,1.3,2.8,10.5,tillmxa01
503,Jacob Toppin,SF,23,NYK,9,0,38,4.7,8.5,.556,0.9,3.8,.250,3.8,4.7,.800,1.9,1.9,1.000,2.8,3.8,6.6,2.8,0.0,0.9,0.9,2.8,12.3,toppija01
504,Obi Toppin,PF,25,IND,82,28,1730,6.9,12.0,.573,2.1,5.3,.403,4.8,6.8,.706,1.6,2.1,.770,1.8,4.9,6.7,2.7,1.0,0.9,1.4,3.0,17.5,toppiob01
505,Juan Toscano-Anderson,SF,30,SAC,11,0,53,2.0,8.2,.250,0.7,2.7,.250,1.4,5.4,.250,0.0,0.0,,2.7,6.8,9.5,2.7,0.7,0.7,1.4,7.5,4.8,toscaju01
506,Karl-Anthony Towns,PF,28,MIN,62,62,2026,8.5,16.9,.504,2.4,5.8,.416,6.1,11.1,.550,4.5,5.2,.873,1.7,7.5,9.2,3.4,0.8,0.7,3.1,3.6,24.0,townska01
507,Gary Trent Jr.,SG,25,TOR,71,41,1994,6.5,15.3,.426,3.2,8.2,.393,3.3,7.1,.464,1.3,1.7,.771,0.5,2.9,3.4,2.1,1.4,0.2,0.8,1.7,17.6,trentga02
508,Oscar Tshiebwe,PF,24,IND,8,0,42,8.6,17.1,.500,0.0,0.0,,8.6,17.1,.500,5.1,6.9,.750,6.9,6.9,13.7,1.7,1.7,0.9,0.0,2.6,22.3,tshieos01
509,P.J. Tucker,PF,38,TOT,31,10,486,1.3,3.7,.360,1.0,2.6,.371,0.4,1.1,.333,0.2,0.2,1.000,2.1,4.2,6.3,1.2,1.2,0.5,0.6,4.0,3.9,tuckepj01
510,Myles Turner,C,27,IND,77,77,2076,8.3,15.8,.524,2.0,5.6,.358,6.2,10.1,.615,4.2,5.5,.773,2.0,7.3,9.2,1.7,0.7,2.5,1.9,4.0,22.8,turnemy01
511,Hunter Tyson,PF,23,DEN,18,0,48,6.0,15.0,.400,3.0,10.5,.286,3.0,4.5,.667,0.0,0.0,,0.7,6.0,6.8,1.5,0.7,0.0,1.5,7.5,15.0,tysonhu01
512,Stanley Umude,SG,24,DET,24,2,307,4.3,9.9,.440,2.8,6.2,.453,1.5,3.6,.419,3.4,3.8,.906,0.9,5.0,6.0,1.3,0.9,0.8,1.6,4.7,14.9,umudest01
513,Jonas Valančiūnas,C,31,NOP,82,82,1925,7.5,13.4,.559,0.7,2.2,.308,6.8,11.2,.609,3.0,3.8,.785,3.5,10.0,13.5,3.2,0.6,1.3,2.1,4.1,18.7,valanjo01
514,Jarred Vanderbilt,PF,24,LAL,29,6,581,3.7,7.1,.518,0.5,1.7,.296,3.2,5.4,.586,1.5,2.2,.667,2.5,6.0,8.6,2.2,2.2,0.3,1.7,2.7,9.3,vandeja01
515,Fred VanVleet,PG,29,HOU,73,73,2684,5.7,13.7,.416,3.0,7.9,.387,2.6,5.8,.454,2.6,3.1,.860,0.4,3.3,3.7,7.9,1.4,0.8,1.7,2.5,17.0,vanvlfr01
516,Devin Vassell,SG,23,SAS,68,62,2248,8.0,16.9,.472,2.7,7.1,.372,5.3,9.8,.544,2.6,3.2,.801,0.4,3.7,4.2,4.4,1.2,0.4,1.7,1.2,21.2,vassede01
517,Sasha Vezenkov,PF,28,SAC,42,0,511,5.9,13.5,.440,3.2,8.5,.375,2.7,5.0,.549,0.8,1.1,.800,2.1,4.6,6.8,1.3,1.4,0.5,0.8,3.0,15.9,vezenal01
518,Gabe Vincent,PG,27,LAL,11,0,218,2.5,8.1,.306,0.5,4.6,.107,2.0,3.5,.571,0.2,0.3,.500,0.7,0.8,1.5,3.5,1.5,0.0,0.8,3.1,5.6,vincega01
519,Nikola Vučević,C,33,CHI,76,74,2610,8.1,16.7,.484,1.3,4.3,.294,6.8,12.4,.550,1.5,1.8,.822,2.9,8.2,11.0,3.5,0.7,0.8,1.7,2.6,18.9,vucevni01
520,Tristan Vukcevic,C,20,WAS,10,4,153,6.8,15.8,.433,2.4,8.5,.278,4.5,7.3,.613,4.0,5.2,.773,1.4,7.1,8.5,3.1,1.2,1.6,2.4,6.6,20.0,vukcetr01
521,Dean Wade,PF,27,CLE,54,32,1108,3.1,7.5,.414,2.6,6.6,.391,0.6,1.0,.567,0.6,0.8,.769,1.2,5.9,7.1,1.4,1.3,0.8,0.6,3.0,9.5,wadede01
522,Franz Wagner,SF,22,ORL,72,72,2337,8.1,16.9,.482,1.4,5.1,.281,6.7,11.7,.570,4.2,4.9,.850,1.1,4.8,5.9,4.1,1.2,0.4,2.1,2.6,21.9,wagnefr01
523,Moritz Wagner,C,26,ORL,80,1,1415,8.4,14.0,.601,1.0,2.9,.330,7.5,11.1,.673,4.2,5.2,.814,3.0,5.9,8.8,2.4,1.0,0.5,2.5,4.1,22.1,wagnemo01
524,Ish Wainright,SF,29,TOT,11,0,62,4.1,13.9,.292,4.1,11.6,.350,0.0,2.3,.000,1.2,1.2,1.000,1.7,6.4,8.1,0.6,2.3,0.6,1.2,4.6,13.4,wainris01
525,Jabari Walker,SF,21,POR,72,23,1700,5.0,10.8,.460,0.9,2.9,.295,4.1,7.8,.522,2.7,3.6,.754,3.2,7.6,10.8,1.5,0.9,0.5,1.4,3.7,13.5,walkeja01
526,Jarace Walker,PF,20,IND,33,0,340,4.8,11.6,.409,2.3,5.8,.400,2.4,5.8,.418,0.8,1.0,.889,1.3,5.4,6.7,4.2,1.6,1.2,1.8,3.1,12.7,walkeja02
