"Player","Team","Pos","G","GS","TRB","AST","STL","BLK","TOV","PF","PTS"
"Isabelle Harrison","CHI","F",36,5,8.6,1.7,1.2,0.7,2.4,2.9,14.4
"Mikiah Herbert Harrigan","PHO","F",31,3,4.8,1,1.7,1.2,1.6,3,10.5
"Destanni Henderson","ATL","G",6,0,4.1,5.1,0.7,0.3,3.4,1.7,8.2
"Naz Hillmon","ATL","F",40,19,8,2.2,1.2,0.5,1.6,2.2,9.5
"Joyner Holmes","SEA","F",27,0,7.6,3.9,0.9,0.9,3.3,4.4,12.3
"Jordan Horston","SEA","F",39,14,6.9,2.9,2.1,1.1,2.7,3,11
"Natasha Howard","DAL","F",27,26,7.9,3.4,1.5,0.9,3.3,3.7,20.7
"Rhyne Howard","ATL","G",30,29,4.6,3.3,1.9,0.7,1.8,2.2,18.4
"Lexie Hull","IND","G",34,11,4.5,1.9,1.2,0.6,1.6,4.6,10
"Rickea Jackson","LAS","F",40,35,4.8,1.8,0.8,0.4,2.4,2.2,16.7
"Haley Jones","ATL","F-G",40,24,4.4,4.2,0.7,0.6,3.4,4,7.8
"Ezinne Kalu","ATL","G",1,0,2.8,0,2.8,0,0,11.1,8.3
"Lou Lopez Sénéchal","DAL","G",27,0,3.2,2.9,0.9,0,1.7,3.7,7.2
"Jewell Loyd","SEA","G",37,37,4.8,3.9,1.5,0.2,2.5,1.9,21.1
"Natasha Mack","PHO","F-C",40,11,11.6,2.6,1.6,2.7,1.6,3.3,8.9
"Ezi Magbegor","SEA","F-C",37,37,9.4,2.3,1.3,2.6,1.7,3.7,13.7
"Teaira McCowan","DAL","C",39,38,11.5,2.2,1.2,1.2,2.8,4.3,16.8
"Aari McDonald","LAS","G",26,10,3.3,6.1,1.5,0.4,3,3.3,14.3
"Jade Melbourne","WAS","G",37,0,3.8,4,1.6,0.3,4.3,3.7,13.6
"Kelsey Mitchell","IND","G",40,38,2.8,2,0.8,0.2,1.8,1.8,21.6
"Nika Mühl","SEA","G",16,0,6.3,4.4,1.3,0,2.5,5.7,1.3
"Kia Nurse","LAS","G",40,27,2.8,2.4,0.8,0,2.2,3.2,13.5
"Arike Ogunbowale","DAL","G",38,38,4.3,4.8,2,0.3,2.5,2.6,20.8
"Nneka Ogwumike","SEA","F",37,37,8.6,2.6,2.1,0.6,1.5,2.6,18.9
"Michaela Onyenwere","CHI","F",34,18,3.5,1.9,1.1,0.7,2.4,3.8,12.8
"Charisma Osborne","PHO","G",2,0,3.6,3.6,0,0,7.2,3.6,7.2
"Cheyenne Parker-Tyus","ATL","F",25,11,8.9,2.7,1.5,0.7,3.8,4.4,16.9
"Aerial Powers","ATL","G",17,2,6.6,2.8,1.9,0.5,2.1,4.1,17.3
"Angel Reese","CHI","F",34,34,14.5,2.1,1.4,0.5,2.4,3.9,15.1
"DiDi Richards","WAS","G-F",19,7,5.3,2.4,0.4,0.7,1.3,2.7,8.4
"Mercedes Russell","SEA","C",37,6,6.8,1.9,1.4,0.6,1.6,2.7,9
"Satou Sabally","DAL","F",15,15,6.8,5.3,1.3,0.6,2.6,3.4,18.9
"Karlie Samuelson","WAS","G",29,19,3.7,3.1,1.4,0.1,1.3,2.4,12.3
"Katie Lou Samuelson","IND","F",37,15,4.5,2.7,0.6,0.5,1,2.8,8.5
"Victaria Saxton","IND","F",9,0,4.7,0,0,0,1.6,6.3,12.5
"Jacy Sheldon","DAL","G",40,26,3.2,3.8,0.9,0.5,2.4,3.9,8.4
"Maddy Siegrist","DAL","F",27,13,5,1.5,0.6,0.6,0.8,1.8,14.3
"NaLyssa Smith","IND","F",40,37,10.4,1.5,1.1,1.4,1.9,3.9,15.3
"Stephanie Soares","DAL","C",22,3,9.7,2.1,0.4,1.6,2.5,3.7,4.9
"Azura Stevens","LAS","F-C",20,19,10.2,2.8,1.2,1.3,2.6,2.8,14
"Brittney Sykes","WAS","G",18,18,6.3,4.7,1.4,0.6,3.4,2.2,18.9
"Stephanie Talbot","LAS","F",37,10,6.1,4.6,1.1,1,2.2,3.1,7.9
"Diana Taurasi","PHO","G",36,36,4.7,4.2,0.8,0.3,2.3,3.2,18.6
"Brianna Turner","CHI","F-C",27,2,7.5,1.4,1.3,1.8,1.7,4,4.7
"Sevgi Uzun","DAL","G",40,19,2.9,5.2,1.6,0.5,3.2,2.6,7.7
"Julie Vanloo","WAS","G",40,34,2.5,6.7,0.7,0,4,3.3,11.4
"Victoria Vivians","SEA","G-F",35,15,5.6,2.3,1.1,0.6,1.6,3.4,8.9
"Shatori Walker-Kimbrough","WAS","G",40,2,2.8,3.1,1.7,0.7,2.2,1.6,12.2
"Kristy Wallace","IND","G",26,15,3.9,3.6,1.4,0.5,1.4,2.3,9.9
"Erica Wheeler","IND","G",39,2,3.5,4.5,1.1,0.3,2.3,3,9.4
"Sami Whitcomb","SEA","G",40,3,4.4,3.8,1.8,0.5,2.4,3.3,11.8
"Elizabeth Williams","CHI","C-F",9,9,9.1,2,2.2,2.2,2.2,2.7,13
"Gabby Williams","SEA","F",12,11,4.9,4.5,2.1,0.3,1.7,2.2,12.7
"Kiana Williams","SEA","G",13,0,1.6,4,0,0,1.6,2.4,8.8
"Li Yueru","LAS","C",38,2,9.2,1.5,0.8,0.6,2.2,5.3,12.7
"Rachel Banham","TOT","G",37,9,3.3,2.5,0.9,0.4,1.2,3.6,12.9
"Morgan Bertsch","TOT","F",11,0,6.1,0.7,0.4,0.4,4.7,5,7.9
"Monique Billings","TOT","F",37,14,9.1,2.3,1.2,0.8,2.8,3.6,11.7
"Crystal Dangerfield","TOT","G",33,5,2.8,5.1,0.9,0.5,2.1,2,8.7
"Queen Egbo","TOT","F-C",8,0,12.4,0,3.7,1.2,0,5,14.9
"Myisha Hines-Allen","TOT","F",40,11,9,4.9,1.3,0.2,2.7,3.9,15.1
"Moriah Jefferson","TOT","G",23,0,1.8,5.8,1.6,0,1.6,3.3,6
"Sika Koné","TOT","F",27,0,9.1,2,1,0.3,2.3,4.1,17.8
"Marina Mabrey","TOT","G",40,27,5.1,4.8,1.3,0.5,2.7,3,16.8
"Odyssey Sims","TOT","G",24,17,2.6,6.5,1.4,0.3,2.7,1.9,15.5
"Sug Sutton","TOT","G",29,0,2.7,5.9,1.5,0.1,3.2,2.5,6.4
"Celeste Taylor","TOT","G",22,4,3.1,3.1,1.6,1.1,2.4,2.4,6.4
