"Player","Team","Pos","G","GS","TRB","AST","STL","BLK","TOV","PF","PTS"
"Lindsay Allen","CHI","G",40,28,3,5.9,1.2,0.3,2.4,2.5,10
"Rebecca Allen","PHO","F-G",18,18,5.7,1.6,1.4,1,1.4,2.8,10.7
"Laeticia Amihere","ATL","F",16,0,11.7,1.3,0.9,1.3,3.5,3,8.2
"Ariel Atkins","WAS","G",40,40,4.1,3.7,1.8,0.5,2.8,3.4,18
"Amy Atwell","PHO","F",6,0,3.7,3.7,0,0.6,1.2,1.8,9.2
"Shakira Austin","WAS","F-C",12,11,12.4,1.7,2.3,1.7,4.4,4.5,21.3
"Grace Berger","IND","G",11,0,5.3,2.5,1.8,0,3.5,4.2,10.9
"Aliyah Boston","IND","C-F",40,40,10.3,3.7,1,1.4,2.3,3.8,16.3
"Cameron Brink","LAS","F",15,15,8.8,2.7,1.8,3.8,3.7,6.6,12.4
"Jaelyn Brown","DAL","G-F",14,1,5.4,1.5,1,1,3.1,4.1,9.4
"Jakia Brown-Turner","WAS","G",2,0,4.5,0,4.5,0,0,0,9
"Kalani Brown","DAL","C",39,2,8.3,2.9,0.5,1.5,3.3,4.4,15.6
"Lexie Brown","LAS","G",16,8,3.5,5,1.6,0.2,2.9,2.1,12.3
"Rae Burrell","LAS","G-F",37,7,4.2,2.6,1.8,0.7,2.3,3.7,13.7
"Maya Caldwell","ATL","G",25,6,4,2.4,1.3,0.4,2,2.7,11.6
"Jordin Canada","ATL","G",20,18,4,6.7,1.8,0.3,2.4,3,12.2
"Kamilla Cardoso","CHI","C",32,29,10.4,2.2,0.7,1.9,2,4.2,12.9
"Chennedy Carter","CHI","G",33,20,4.9,4.3,1.5,0.3,2.3,4.4,24.2
"Tina Charles","ATL","C",39,39,11.6,2.8,1.1,0.6,1.9,3,18
"Layshia Clarendon","LAS","G",21,12,4.1,5.8,1.6,0.1,2.7,4.7,9.8
"Caitlin Clark","IND","G",40,40,5.8,8.6,1.3,0.7,5.7,2.8,19.6
"Natasha Cloud","PHO","G",38,38,4.4,7.5,1.5,0.7,3.3,2.9,12.5
"Nia Coffey","ATL","F",40,11,6.4,3.1,0.8,1.8,2.7,3.2,8.8
"Zia Cooke","LAS","G",29,0,2.5,2.4,1.3,0.4,2.9,3.1,14.4
"Kahleah Copper","PHO","G-F",37,37,5.1,2.5,0.9,0.1,3.3,3.6,23.5
"Lorela Cubaj","ATL","F-C",28,1,6.7,2.4,1.5,0.3,2,5.4,5.4
"Sophie Cunningham","PHO","G",40,21,5.1,2.6,1.3,0.3,1.2,3,10.8
"Damiris Dantas","IND","C-F",20,0,7.4,2.1,0.9,0.9,2.1,3.4,15.3
"Kaela Davis","CHI","F",4,0,2.8,0.7,0.7,1.4,2.8,3.5,8.3
"Diamond DeShields","CHI","G",32,10,3.8,3.5,1.6,0.7,2.4,4.2,11.7
"Skylar Diggins","SEA","G",40,40,3,7.3,1.9,1,3.1,3.2,17.3
"Liz Dixon","PHO","F",17,0,9.2,2,0.2,2,1.8,2.9,6.8
"Stefanie Dolson","WAS","C",39,39,6.9,3.6,0.7,0.6,2.4,4.1,13.2
"Aaliyah Edwards","WAS","F",34,17,9.3,2.3,1.2,1.3,2.4,4.4,12.5
"Emily Engstler","WAS","F",32,3,9.9,3.6,1.5,1.9,1.7,3.8,15.3
"Dana Evans","CHI","G",39,12,2.1,4.6,1.3,0.2,2.6,2.3,13.5
"Temi Fagbenle","IND","C",22,2,9,1.7,1,1.3,2.3,5.7,12.1
"Dulcy Fankam Mendjiadeu","SEA","F-C",7,0,9,1,0,0,3,5,6
"Kysre Gondrezick","CHI","G",5,0,4.5,4.5,9,0,6.8,4.5,11.3
"Allisha Gray","ATL","G",40,40,4.7,2.9,1.1,0.8,1.8,2.6,16.9
"Brittney Griner","PHO","C",30,30,8.2,2.9,0.7,1.9,2.2,2.4,22.3
"Dearica Hamby","LAS","F",40,40,9.8,3.7,1.8,0.2,3.2,2.9,18.5
